År;Församlings-kod;Kommun;Församling;Summa, inkl. kyrkoavgift;Summa, exkl. kyrkoavgift;Kommunal-skatt;Landstings-skatt;Begravnings-avgift;Kyrkoavgift
2025;01 14;UPPLANDS VÄSBY;EDS FÖRSAMLING;32.983;32.093;19.42;12.38;0.293;0.89
2025;01 14;UPPLANDS VÄSBY;FRESTA FÖRSAMLING;32.893;32.093;19.42;12.38;0.293;0.8
2025;01 14;UPPLANDS VÄSBY;HAMMARBY FÖRSAMLING;32.953;32.093;19.42;12.38;0.293;0.86
2025;01 15;VALLENTUNA;VALLENTUNA FÖRSAMLING;32.513;31.573;18.9;12.38;0.293;0.94
2025;01 15;VALLENTUNA;ÖSSEBY FÖRSAMLING;32.718;31.573;18.9;12.38;0.293;1.145
2025;01 17;ÖSTERÅKER;LJUSTERÖ-KULLA FÖRSAMLING;30.013;29.273;16.6;12.38;0.293;0.74
2025;01 17;ÖSTERÅKER;ÖSTERÅKER-ÖSTRA RYDS FÖRSAMLING;30.013;29.273;16.6;12.38;0.293;0.74
2025;01 20;VÄRMDÖ;DJURÖ, MÖJA OCH NÄMDÖ FÖRSAMLING;32.823;31.653;18.98;12.38;0.293;1.17
2025;01 20;VÄRMDÖ;GUSTAVSBERG-INGARÖ FÖRSAMLING;32.523;31.653;18.98;12.38;0.293;0.87
2025;01 20;VÄRMDÖ;VÄRMDÖ FÖRSAMLING;32.523;31.653;18.98;12.38;0.293;0.87
2025;01 23;JÄRFÄLLA;JÄRFÄLLA FÖRSAMLING;32.603;31.913;19.24;12.38;0.293;0.69
2025;01 25;EKERÖ;ADELSÖ-MUNSÖ FÖRSAMLING;32.833;31.893;19.22;12.38;0.293;0.94
2025;01 25;EKERÖ;EKERÖ FÖRSAMLING;32.833;31.893;19.22;12.38;0.293;0.94
2025;01 25;EKERÖ;FÄRINGSÖ FÖRSAMLING;32.883;31.893;19.22;12.38;0.293;0.99
2025;01 25;EKERÖ;LOVÖ FÖRSAMLING;32.833;31.893;19.22;12.38;0.293;0.94
2025;01 26;HUDDINGE;FLEMINGSBERGS FÖRSAMLING;32.943;32.143;19.47;12.38;0.293;0.8
2025;01 26;HUDDINGE;HUDDINGE FÖRSAMLING;32.943;32.143;19.47;12.38;0.293;0.8
2025;01 26;HUDDINGE;S:T MIKAELS FÖRSAMLING;32.943;32.143;19.47;12.38;0.293;0.8
2025;01 26;HUDDINGE;TRÅNGSUND-SKOGÅS FÖRSAMLING;32.943;32.143;19.47;12.38;0.293;0.8
2025;01 27;BOTKYRKA;BOTKYRKA FÖRSAMLING;33.663;32.723;20.05;12.38;0.293;0.94
2025;01 27;BOTKYRKA;GRÖDINGE FÖRSAMLING;33.733;32.723;20.05;12.38;0.293;1.01
2025;01 28;SALEM;SALEMS FÖRSAMLING;33.182;32.343;19.67;12.38;0.293;0.839
2025;01 36;HANINGE;DALARÖ-ORNÖ-UTÖ FÖRSAMLING;32.973;32.123;19.45;12.38;0.293;0.85
