År;Antal dgr;Tabellnr;Inkomst fr.o.m.;Inkomst t.o.m.;Kolumn 1;Kolumn 2;Kolumn 3;Kolumn 4;Kolumn 5;Kolumn 6;Kolumn 7
2025;30B;29;1;2000;0;0;0;0;0;0;
2025;30B;29;2001;2100;150;0;150;0;150;7;
2025;30B;29;2101;2200;152;0;150;2;152;37;
2025;30B;29;2201;2300;163;0;158;4;163;67;
2025;30B;29;2301;2400;173;0;166;7;173;97;
2025;30B;29;2401;2500;184;0;175;9;184;127;
2025;30B;29;2501;2600;194;0;183;11;194;157;
2025;30B;29;2601;2700;205;0;191;13;205;187;
2025;30B;29;2701;2800;215;0;200;15;217;217;
2025;30B;29;2801;2900;217;0;200;17;247;247;
2025;30B;29;2901;3000;228;0;208;19;277;277;
2025;30B;29;3001;3100;238;0;216;22;307;307;
2025;30B;29;3101;3200;249;0;225;24;337;337;
2025;30B;29;3201;3300;259;0;233;26;367;367;
2025;30B;29;3301;3400;270;0;241;28;397;397;
2025;30B;29;3401;3500;272;0;241;30;427;427;
2025;30B;29;3501;3600;282;0;250;32;457;457;
2025;30B;29;3601;3700;293;0;258;35;487;487;
2025;30B;29;3701;3800;303;0;266;37;517;517;
2025;30B;29;3801;3900;314;0;275;39;547;547;
2025;30B;29;3901;4000;324;0;283;41;577;577;
2025;30B;29;4001;4100;327;0;283;43;607;607;
2025;30B;29;4101;4200;337;0;291;45;637;637;
2025;30B;29;4201;4300;348;0;300;48;667;667;
2025;30B;29;4301;4400;358;0;308;50;697;697;
2025;30B;29;4401;4500;369;0;316;59;727;727;
2025;30B;29;4501;4600;379;0;325;80;757;757;
2025;30B;29;4601;4700;381;0;325;100;787;787;
2025;30B;29;4701;4800;392;0;333;121;817;817;
2025;30B;29;4801;4900;402;0;341;141;844;844;
2025;30B;29;4901;5000;412;0;350;161;867;867;
2025;30B;29;5001;5100;422;0;358;181;892;892;
2025;30B;29;5101;5200;432;0;366;201;914;914;
2025;30B;29;5201;5300;442;0;375;222;939;939;
2025;30B;29;5301;5400;444;0;375;242;964;964;
2025;30B;29;5401;5500;454;12;384;262;987;987;
2025;30B;29;5501;5600;464;34;394;282;1012;1012;
2025;30B;29;5601;5700;474;57;404;301;1034;1034;
2025;30B;29;5701;5800;484;79;414;321;1058;1058;
2025;30B;29;5801;5900;494;99;423;340;1082;1082;
2025;30B;29;5901;6000;496;122;425;360;1104;1104;
2025;30B;29;6001;6100;506;144;435;379;1129;1129;
2025;30B;29;6101;6200;516;167;445;398;1151;1151;
2025;30B;29;6201;6300;526;189;455;418;1175;1175;
2025;30B;29;6301;6400;536;212;465;438;1199;1199;
2025;30B;29;6401;6500;546;234;475;457;1221;1221;
2025;30B;29;6501;6600;548;257;476;477;1246;1246;
2025;30B;29;6601;6700;558;279;486;496;1268;1268;
2025;30B;29;6701;6800;568;302;496;515;1292;1292;
2025;30B;29;6801;6900;578;324;506;535;1316;1316;
2025;30B;29;6901;7000;588;347;516;554;1338;1338;
2025;30B;29;7001;7100;598;367;526;574;1363;1363;
2025;30B;29;7101;7200;600;389;528;593;1385;1385;
2025;30B;29;7201;7300;610;412;538;613;1409;1409;
2025;30B;29;7301;7400;620;434;547;632;1433;1433;
2025;30B;29;7401;7500;630;457;557;652;1455;1455;
2025;30B;29;7501;7600;640;479;567;671;1480;1480;
2025;30B;29;7601;7700;650;502;577;691;1502;1502;
2025;30B;29;7701;7800;667;524;587;710;1526;1526;
2025;30B;29;7801;7900;685;547;589;730;1550;1550;
2025;30B;29;7901;8000;703;569;599;749;1572;1572;
2025;30B;29;8001;8100;721;592;609;769;1597;1597;
2025;30B;29;8101;8200;739;614;619;788;1619;1619;
2025;30B;29;8201;8300;758;634;629;808;1643;1643;
2025;30B;29;8301;8400;776;657;639;827;1667;1667;
2025;30B;29;8401;8500;794;679;640;847;1689;1689;
2025;30B;29;8501;8600;812;702;650;866;1714;1714;
2025;30B;29;8601;8700;830;724;660;886;1736;1736;
2025;30B;29;8701;8800;849;747;670;905;1760;1760;
2025;30B;29;8801;8900;867;769;680;925;1784;1784;
2025;30B;29;8901;9000;885;792;690;944;1806;1806;
2025;30B;29;9001;9100;903;814;692;964;1831;1831;
2025;30B;29;9101;9200;921;837;701;983;1853;1853;
2025;30B;29;9201;9300;939;859;711;1003;1877;1877;
2025;30B;29;9301;9400;958;882;721;1022;1901;1901;
2025;30B;29;9401;9500;976;902;731;1042;1923;1923;
2025;30B;29;9501;9600;994;924;741;1061;1948;1948;
2025;30B;29;9601;9700;1012;939;742;1081;1970;1970;
2025;30B;29;9701;9800;1030;957;752;1100;1994;1994;
2025;30B;29;9801;9900;1049;974;761;1120;2018;2018;
2025;30B;29;9901;10000;1067;994;771;1139;2040;2040;
2025;30B;29;10001;10100;1085;1012;781;1159;2065;2065;
2025;30B;29;10101;10200;1103;1029;790;1178;2087;2087;
2025;30B;29;10201;10300;1121;1046;800;1198;2111;2111;
